smiles,TADF-likeness
CCN(c1ccccc1C)c1c(C)ccc(OC)c1C,59.37969208
O=C(c1ccc(Oc2ccccc2)cc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,58.63440704
CCCc1ccc(OCCNC(=O)c2ccccc2OCc2ccccc2)cc1,59.91960526
Cc1cc2nc(N(Cc3ccccn3)C(=O)c3cc(C)n(C(C)C)n3)sc2cc1C,55.047966
CC(C)Oc1ccc(C(=O)Nc2ccc3nc(C(C)C)oc3c2)cc1,59.66877747
Cc1cc(C)c(Oc2nc(-c3cccc(CN)c3)ccc2C(=O)CS(=O)(=O)c2cccc(N)n2)c(C)c1,56.25953674
Cc1nc(-c2ccc(-n3cc(C(=O)Nc4cccc(F)c4)c(C)n3)cc2)no1,56.59588623
COC1C=CC(=O)C(C)(c2ccc(S(=O)(=O)c3ccccc3)cc2)O1,57.99568939
CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1cn(C2=CC=C(C(=O)c3ccccc3)CC2)c2ccccc12,56.85667419
Cc1ccccc1CSCC(=O)c1cn(CCC#N)c2ccccc12,55.15856171
O=C1c2ccccc2S(=O)(=O)c2cc(C(=O)N3CCN(Cc4cccc5ccccc45)CC3)ccc21,58.02235794
Cc1c(C#N)c(-c2ccccc2)nc(/C=C(/O)c2ccccc2)c1C(=O)NCc1ccccc1,56.68234253
c1ccc2c(c1)NCCCN2Cc1nc2ccccc2[nH]1,55.40736008
COc1cc2cc(C(CC/C=C(\C)CCC=C(C)C)=C(C)C)oc2cc1OC,56.37005615
Cc1c(F)ccc(-c2nc3n(c2-c2ccc4c(c2)C=NC4)CCC3)c1F,59.42376709
CNc1ccc(-c2c(-c3ccc(Oc4cccc(C(F)(F)F)c4)nc3)c3c(N)ncnc3n2C)cc1,56.41656494
Cc1ccc(C)c(-c2cnccn2)c1,55.33504105
CC(C)c1ccc(NC(=O)N2CC=C(c3ccc(F)cc3)CC2)cc1,55.21041107
CNC(c1cccc(OC)c1)c1ccc2c(c1)OCCO2,58.03233337
C/C=C1\CN(S(=O)(=O)c2ccc(C)cc2)C\C1=C(/C)c1ccccc1,56.20806885
COc1cccc(CN(C)C(=O)CSc2nnc(-c3cccs3)n2-c2ccccc2)c1OC,56.60388184
CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C/c3cc(OC)ccc3OC)c(=O)n2C1c1c(OC)ccc2ccccc12,57.35391998
Cc1cc([C@@H]2[C@@H](c3ccccn3)NC(=S)N2c2ccc(OC(C)C)cc2)c(C)n1-c1ccc(F)cc1,58.62397766
CCOc1ccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc4c(c3)CCN4C(C)=O)c2)cc1,56.47977448
CCCCN1C(=O)C/C(=N/Nc2ccccc2)c2ccccc21,56.36574173
C[C@@H](C(=O)NC1CCCCC1)N(Cc1ccccc1)C(=O)CCc1ccc(C(C)(C)C)cc1,58.05355072
CC1(C)Cc2c(sc3c2c(=O)n(CCc2ccccc2)c(=O)n3CCc2ccccc2)CO1,59.89097595
O=c1c2ccccc2[nH]c(=S)n1-c1ccc(-n2c(=S)[nH]c3ccccc3c2=O)cc1,58.36671448
CCOc1cc(/C=C/c2ccc3cc(C)ccc3n2)ccc1O,58.60809326
CCOS(=O)(=O)Oc1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,58.15898895
CCN(CC)C1=Nc2ccccc2Sc2ccccc21,56.45273972
COC(=O)c1nc2ccccc2nc1NCc1ccc(F)cc1,56.21093369
CCc1ccc(-c2c[nH]c3ccccc23)c(F)c1,56.86013412
Cc1ccc2c(c1C)c(C(=O)NC1CC3CCC(C1)N3C)c(-c1ccccc1)n2C,55.23078918
Cc1[nH][nH]c(=O)c2cc3c(nc4ccccc43)c(C)c12,57.95310974
CC1(C)N=C2N(C#N)CN(Cc3ccccc3)CN2C2CCN(Cc3ccccc3)C=C21,55.16905212
CCNCc1cncc(-c2cc3c(-c4nc5c(-c6cccnc6)cccc5[nH]4)n[nH]c3cn2)c1,59.41292572
