Compound,smiles_len,smiles,TADF-likeness,SA score
1,166,CCCCCCCCC1(CCCCCCCC)c2cc(C#Cc3ccc(-c4sc(-c5sc(N(C)C)nc5N5/C(=C\C=C/C=C/c6ccco6)C(C)(CCCC(=O)O)c6cc(S(=O)(=O)[O-])ccc65)nc4-c4ccc(-c5ccccc5)cc4)cc3)ccc2-c2ccc(C=O)cc21,81.48,5.56
2,169,CCCCCCCCC1(CCCCCCCC)c2cc(C#CC#Cc3ccc(-c4sc(-c5sc(N(C)C)nc5N5/C(=C\C=C/C=C/c6ccco6)C(C)(CCCC(=O)O)c6cc(S(=O)(=O)[O-])ccc65)nc4-c4ccc(-c5ccccc5)cc4)cc3)ccc2-c2ccc(C=O)cc21,81.48,5.7
3,59,CN(C)c1ccc2c(/C=C/C=C/C=C\C=C\c3ccco3)cc(-c3ccccc3)[o+]c2c1,81.25,3.25
4,164,Cc1c2ccccc2c(C=C/C=C/C=C/C=C2/N(c3sc(N(C)C)nc3N3/C(=C\C=C/C=C/c4ccco4)C(C)(CCCC(=O)O)c4cc(S(=O)(=O)[O-])ccc43)c3ccc(S(=O)(=O)[O-])cc3C2(C)CCCS(=O)(=O)[O-])c2ccccc12,81.22,5.92
5,165,CN(C)c1nc(N2/C(=C\C=C/C=C/c3ccco3)C(C)(CCCC(=O)O)c3cc(S(=O)(=O)[O-])ccc32)c(N2/C(=C/C=C/C=C/C=Cc3c4ccccc4cc4ccccc34)C(C)(CCCS(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])ccc32)s1,81.19,5.86
6,41,C(=Cc1ccc2ccc3cccc4ccc1c2c34)/C=C/c1ccco1,81.18,2.48
7,162,CN(C)c1ccc2cc(C=C/C=C/C=C/C=C3/N(c4sc(N(C)C)nc4N4/C(=C\C=C/C=C/c5ccco5)C(C)(CCCC(=O)O)c5cc(S(=O)(=O)[O-])ccc54)c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCS(=O)(=O)[O-])ccc2c1,80.89,5.88
8,129,CC1(CCCC(=O)O)/C(=C/C=C\C=C\c2ccco2)N(c2cc3c4c(ccc5c4c2OC(c2ccccc2)=C5c2ccccc2)C(c2ccccc2)=C(c2ccccc2)O3)c2ccc(S(=O)(=O)[O-])cc21,80.87,4.75
9,164,CN(C)c1nc(N2/C(=C\C=C/C=C/c3ccco3)C(C)(CCCC(=O)O)c3cc(S(=O)(=O)[O-])ccc32)c(N2/C(=C/C=C/C=C/C=Cc3ccc(-c4ccccc4)cc3)C(C)(CCCS(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])ccc32)s1,80.87,5.75
10,168,CN(C)c1nc(N2/C(=C\C=C/C=C/c3ccco3)C(C)(CCCC(=O)O)c3cc(S(=O)(=O)[O-])ccc32)c(N2/C(=C/C=C/C=Cc3ccccc3P(c3ccccc3)c3ccccc3)C(C)(CCCS(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])ccc32)s1,80.83,5.97
11,152,CC[N+](CC)=c1ccc2c(-c3sc(N(C)C)nc3N3/C(=C\C=C/C=C/c4ccco4)C(C)(CCCC(=O)O)c4cc(S(=O)(=O)[O-])ccc43)cc(-c3c4ccc(=[N+](CC)CC)cc-4oc4c3ccc3cc(O)ccc34)oc-2c1,80.81,5.46
12,168,CCCCCCCCC1(CCCCCCCC)c2cc(C#Cc3ccc(-c4ncc(-c5ccc(-c6ccc(-c7sc(N(C)C)nc7N7/C(=C\C=C/C=C/c8ccco8)C(C)(CCCC(=O)O)c8cc(S(=O)(=O)[O-])ccc87)cc6)cc5)o4)cc3)ccc2-c2ccc(C=O)cc21,80.73,5.55
13,55,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C/C=C/c3ccco3)cc21,80.69,2.82
14,151,CC1(CCCC(=O)O)/C(=C/C=C\C=C\c2ccco2)N(c2cc3c4c([n+]5c(-c6ccccc6)c(-c6ccccc6)c6ccccc6c5c(-c5ccccc5)c4c2)OC(c2ccccc2)=C3c2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,80.1,5.04
15,34,C(=Cc1ccccc1-c1ccccc1)/C=C/c1ccco1,80,2.14
16,44,C(=Cc1ccccc1P(c1ccccc1)c1ccccc1)/C=C/c1ccco1,79.92,2.66
17,188,COc1ccc(C2=C(c3ccc(OC)cc3)N3C(=C(c4ccc(OC)cc4)c4cccc5c(-c6sc(N(C)C)nc6N6/C(=C\C=C/C=C/c7ccco7)C(C)(CCCC(=O)O)c7cc(S(=O)(=O)[O-])ccc76)c(-c6sc(N(C)C)nc6-c6ccccc6)[o+]c3c45)c3ccc(OC)cc32)cc1,79.85,5.9
